,paper_id,target,type
94,https://openalex.org/W3008704476,"Joint Stock Company “Almaz-Antey”, Prospect Obukhovskoy Oborony 120, 192012, St. Petersburg, Russia",institution
95,https://openalex.org/W3008704476,RU,country
96,https://openalex.org/W3008704476,V.I. Ivkov,author
99,https://openalex.org/W3008704476,M.M. Sychov,author
100,https://openalex.org/W3008704476,"Institute of Silicate Chemistry of the Russian Academy of Sciences, Nab. Makarova 2 Liter B, 199034, St. Petersburg, Russia; Saint-Petersburg State Institute of Technology, Moskovsky Prospect 26, 190013, St. Petersburg, Russia",institution
102,https://openalex.org/W3008704476,S.V. Diachenko,author
103,https://openalex.org/W3008704476,"Joint Stock Company “Almaz-Antey”, Prospect Obukhovskoy Oborony 120, 192012, St. Petersburg, Russia; Saint-Petersburg State Institute of Technology, Moskovsky Prospect 26, 190013, St. Petersburg, Russia",institution
105,https://openalex.org/W3008704476,M.V. Gravit,author
106,https://openalex.org/W3008704476,"Peter the Great St. Petersburg Polytechnic University, 29 Politekhnicheskaya St., St. Petersburg 195251, Russia",institution
108,https://openalex.org/W3008704476,ceramic insulators,keyword
109,https://openalex.org/W3008704476,additive manufacturing,keyword
110,https://openalex.org/W3007110036,Mohammad Vaezi,author
111,https://openalex.org/W3007110036,"Mechanical Engineering Department, Babol Noshirvani University of Technology, Babol 47148-71167, Iran.",institution
112,https://openalex.org/W3007110036,IR,country
113,https://openalex.org/W3007110036,Philipp Drescher,author
114,https://openalex.org/W3007110036,"Department of Mechanical Engineering and Marine Technology, Chair of Microfluidics, University of Rostock, 18059 Rostock, Germany",institution
115,https://openalex.org/W3007110036,DE,country
116,https://openalex.org/W3007110036,Hermann Seitz,author
119,https://openalex.org/W3007110036,beamless metal additive manufacturing,keyword
120,https://openalex.org/W4391233985,Mohammad Azadi,author
121,https://openalex.org/W4391233985,"Faculty of Mechanical Engineering, Semnan University, Semnan, Iran",institution
122,https://openalex.org/W4391233985,IR,country
123,https://openalex.org/W2630111394,Cian Vyas,author
124,https://openalex.org/W2630111394,"School of Mechanical, Aerospace and Civil Engineering, University of Manchester, Manchester, M13 9PL, UK",institution
125,https://openalex.org/W2630111394,GB,country
126,https://openalex.org/W2630111394,Ruben Pereira,author
127,https://openalex.org/W2630111394,"INEB – Instituto Nacional de Engenharia Biomédica, Universidade do Porto, Porto, Portugal; i3S – Instituto de Investigação e Inovação em Saúde, Universidade do Porto, Porto, Portugal",institution
128,https://openalex.org/W2630111394,PT,country
129,https://openalex.org/W2630111394,Boyang Huang,author
132,https://openalex.org/W2630111394,Fengyuan Liu,author
135,https://openalex.org/W2630111394,Weiguang Wang,author
138,https://openalex.org/W2630111394,Paulo Jorge Da Silva Bartolo,author
141,https://openalex.org/W2630111394,additive manufacturing,keyword
142,https://openalex.org/W2630111394,vasculature,keyword
143,https://openalex.org/W2630111394,engineering,keyword
144,https://openalex.org/W2904494268,William M. Mihalko,author
145,https://openalex.org/W2904494268,,institution
146,https://openalex.org/W2904494268,arthroplasty implants,keyword
147,https://openalex.org/W2904494268,manufacturing,keyword
148,https://openalex.org/W2904494268,additive,keyword
149,https://openalex.org/W4281683119,A. F. Yudina,author
150,https://openalex.org/W4281683119,"Saint Petersburg State University of Architecture and Civil Engineering, Saint Petersburg, Russia",institution
151,https://openalex.org/W4281683119,RU,country
152,https://openalex.org/W4281683119,D. A. Zhivotov,author
155,https://openalex.org/W4281683119,Yu. I. Tilinin,author
158,https://openalex.org/W4281683119,additive technologies,keyword
159,https://openalex.org/W4281683119,manufacture,keyword
160,https://openalex.org/W4387220288,Umit Dasdemir,author
161,https://openalex.org/W4387220288,"Department of Mechanical Engineering, Graduate School, Istanbul Technical University, Istanbul, Turkey",institution
162,https://openalex.org/W4387220288,TR,country
163,https://openalex.org/W4387220288,Emre Altas,author
164,https://openalex.org/W4387220288,"Department of Mechanical Engineering, Faculty of Engineering, Architecture and Design, Bartın University, Bartın, Turkey",institution
166,https://openalex.org/W4387220288,additive manufacturing,keyword
167,https://openalex.org/W4387220288,metal,keyword
168,https://openalex.org/W3115480467,Ankita Jaisingh Sheoran,author
169,https://openalex.org/W3115480467,"Department of Mechanical Engineering, NIT Delhi, New Delhi, India",institution
170,https://openalex.org/W3115480467,IN,country
171,https://openalex.org/W3115480467,Arunesh Chandra,author
172,https://openalex.org/W3115480467,"Department of Mechanical Engineering, KIET Group of Institutions, Ghaziabad, India",institution
174,https://openalex.org/W3115480467,Harish Kumar,author
177,https://openalex.org/W3115480467,additive manufacturing,keyword
178,https://openalex.org/W3115480467,biomedical applications,keyword
179,https://openalex.org/W2805163661,Andrey V. Gusarov,author
180,https://openalex.org/W2805163661,"Moscow State University of Technology “STANKIN”, Vadkovskiy per. 1, 127055 Moscow, Russia",institution
181,https://openalex.org/W2805163661,RU,country
182,https://openalex.org/W2805163661,Sergey N. Grigoriev,author
185,https://openalex.org/W2805163661,Marina A. Volosova,author
188,https://openalex.org/W2805163661,Yuriy A. Melnik,author
191,https://openalex.org/W2805163661,Alexander Laskin,author
192,https://openalex.org/W2805163661,"AdlOptica GmbH, Rudower Chaussee 29, 12489 Berlin, Germany",institution
193,https://openalex.org/W2805163661,DE,country
194,https://openalex.org/W2805163661,Dmitriy V. Kotoban,author
197,https://openalex.org/W2805163661,Anna A. Okunkova,author
200,https://openalex.org/W2805163661,additive manufacturing,keyword
201,https://openalex.org/W2805163661,laser,keyword
202,https://openalex.org/W2805163661,productivity,keyword
